author,sort,title,url
晓月流苏,衍生纯爱,[综]审神者好像哪,http://www.jjwxc.net/onebook.php?novelid=3153891
镜吉祥,衍生纯爱,百鬼宠物店[综漫].,http://www.jjwxc.net/onebook.php?novelid=3278146
浮云素,衍生纯爱,[综]我们城主冷艳高,http://www.jjwxc.net/onebook.php?novelid=2519958
萧泠风,衍生纯爱,[综英美]入行需谨慎,http://www.jjwxc.net/onebook.php?novelid=2381287
琼玖谦,衍生纯爱,大圣别打我[西游穿,http://www.jjwxc.net/onebook.php?novelid=3178437
年华转生,衍生纯爱,[综]又玩脱了.,http://www.jjwxc.net/onebook.php?novelid=3153499
果汐圆,衍生纯爱,[综]审神者三日月,http://www.jjwxc.net/onebook.php?novelid=3194584
玻璃豆,衍生纯爱,唐僧是个厨,http://www.jjwxc.net/onebook.php?novelid=3083571
路人小透明,衍生纯爱,被全世界最好看,http://www.jjwxc.net/onebook.php?novelid=3235198
有爱就可以,衍生纯爱,不氪金怎么变强,http://www.jjwxc.net/onebook.php?novelid=2971368
啊黑,衍生纯爱,[综]狗子今天也一心向,http://www.jjwxc.net/onebook.php?novelid=3173324
简梨,衍生纯爱,明朝女人,http://www.jjwxc.net/onebook.php?novelid=3311549
君藏,衍生纯爱,综吾名三日月,http://www.jjwxc.net/onebook.php?novelid=3367344
清汤乌冬面,衍生纯爱,[综]全世界都暗,http://www.jjwxc.net/onebook.php?novelid=3265717
孟极寒生,衍生纯爱,红楼美学泥石流,http://www.jjwxc.net/onebook.php?novelid=3117573
七辞于箴,衍生纯爱,[综]欧皇今天依然,http://www.jjwxc.net/onebook.php?novelid=1554659
奈晚歌,衍生纯爱,[综英美]老冰棍网恋,http://www.jjwxc.net/onebook.php?novelid=3184813
三千世,衍生纯爱,[综]尼桑的职业问题,http://www.jjwxc.net/onebook.php?novelid=1428212
玉琴风,衍生纯爱,[快穿]听说祂是女娲,http://www.jjwxc.net/onebook.php?novelid=3068124
稻歌,衍生纯爱,[综]审神者也是一把刀,http://www.jjwxc.net/onebook.php?novelid=3129835
抽鬼,衍生纯爱,[综]妖怪汤屋,http://www.jjwxc.net/onebook.php?novelid=2720947
知情权,衍生纯爱,路人合法权益保护协,http://www.jjwxc.net/onebook.php?novelid=3105700
向家小十,衍生纯爱,[综]熊孩子的日常,http://www.jjwxc.net/onebook.php?novelid=3280842
轻九,衍生纯爱,敌刀幺儿[综漫],http://www.jjwxc.net/onebook.php?novelid=3336797
木白柏bai子,幻想现言,影帝女友是宫,http://www.jjwxc.net/onebook.php?novelid=3383344
十六月西瓜,幻想现言,哥哥太好了怎么,http://www.jjwxc.net/onebook.php?novelid=3081119
紫青悠,幻想现言,我的老公是大佬,http://www.jjwxc.net/onebook.php?novelid=3328440
湖涂,幻想现言,重生七零年代农家女,http://www.jjwxc.net/onebook.php?novelid=3249523
笑佳人,幻想现言,南城,http://www.jjwxc.net/onebook.php?novelid=3107311
风十一,幻想现言,住在豪门总裁手机里,http://www.jjwxc.net/onebook.php?novelid=3111227
林绵绵,幻想现言,除了美貌我一无所有,http://www.jjwxc.net/onebook.php?novelid=3101734
三分流火,幻想现言,酒色撩人[快穿],http://www.jjwxc.net/onebook.php?novelid=3240716
寒小期,幻想现言,六零年代好生活,http://www.jjwxc.net/onebook.php?novelid=3215317
城南花开,幻想现言,你压着我隐形的叶,http://www.jjwxc.net/onebook.php?novelid=3379439
小孩爱吃糖,幻想现言,网红的王者红包,http://www.jjwxc.net/onebook.php?novelid=3351746
几曾识干戈,幻想现言,重生之学霸兼职,http://www.jjwxc.net/onebook.php?novelid=3313920
D4C,幻想现言,重生之美女外交官,http://www.jjwxc.net/onebook.php?novelid=3409593
蔚空,幻想现言,我的妈妈是女神,http://www.jjwxc.net/onebook.php?novelid=3313609
十月微微凉,幻想现言,重生民国娇小姐,http://www.jjwxc.net/onebook.php?novelid=3151077
今妤,幻想现言,少帅夫人有红包,http://www.jjwxc.net/onebook.php?novelid=3366735
一碗叉烧,幻想现言,喵的报恩,http://www.jjwxc.net/onebook.php?novelid=3428667
半截白菜,幻想现言,重生十七岁那年夏,http://www.jjwxc.net/onebook.php?novelid=3293365
藤萝为枝,幻想现言,他很撩很宠,http://www.jjwxc.net/onebook.php?novelid=3326078
我是逗神,幻想现言,重回七零之小甜妻,http://www.jjwxc.net/onebook.php?novelid=3428928
请叫我山大王,幻想现言,神婆姜苏,http://www.jjwxc.net/onebook.php?novelid=3144602
万里飘香,幻想现言,从末世到1973,http://www.jjwxc.net/onebook.php?novelid=3381203
暴躁的螃蟹,幻想现言,请向我告白[重,http://www.jjwxc.net/onebook.php?novelid=3216561
桃花引,幻想现言,花瓶跟她的豪门前夫,http://www.jjwxc.net/onebook.php?novelid=3209330
袖侧,玄幻奇幻,自欢,http://www.jjwxc.net/onebook.php?novelid=3088125
辰冰,玄幻奇幻,如何当好一只毛团,http://www.jjwxc.net/onebook.php?novelid=3200078
六皮,玄幻奇幻,快穿之掠夺金手指,http://www.jjwxc.net/onebook.php?novelid=3150930
揽清月,玄幻奇幻,修仙带着作弊器,http://www.jjwxc.net/onebook.php?novelid=1955326
永岁飘零,玄幻奇幻,魔姬的六零懵逼日,http://www.jjwxc.net/onebook.php?novelid=3361142
藿香菇,玄幻奇幻,（穿书）女配捉妖日,http://www.jjwxc.net/onebook.php?novelid=3276135
不问潘安,玄幻奇幻,当反派穿成软妹,http://www.jjwxc.net/onebook.php?novelid=3351246
动荡1938,玄幻奇幻,我在六零种大米,http://www.jjwxc.net/onebook.php?novelid=3402740
传山,玄幻奇幻,六零年代离奇生活,http://www.jjwxc.net/onebook.php?novelid=3211837
南林烟,玄幻奇幻,仙乡养鱼日常,http://www.jjwxc.net/onebook.php?novelid=3374464
我是一只花妖,玄幻奇幻,万族无不有,http://www.jjwxc.net/onebook.php?novelid=3417501
豆大王,玄幻奇幻,快穿之如何坑死一个,http://www.jjwxc.net/onebook.php?novelid=3337471
童梦同,玄幻奇幻,快穿之薄命册,http://www.jjwxc.net/onebook.php?novelid=3232955
苏稚如,玄幻奇幻,炖妖,http://www.jjwxc.net/onebook.php?novelid=3167565
荣小轩,玄幻奇幻,人参养灵芝,http://www.jjwxc.net/onebook.php?novelid=3036029
八月薇妮,玄幻奇幻,大唐探幽录,http://www.jjwxc.net/onebook.php?novelid=3050702
颜翡,玄幻奇幻,穿书之长生,http://www.jjwxc.net/onebook.php?novelid=3224303
南柯十三殿,玄幻奇幻,祖师爷,http://www.jjwxc.net/onebook.php?novelid=2570902
那殊,玄幻奇幻,青木年华之谭书玉,http://www.jjwxc.net/onebook.php?novelid=1286248
海派蜡烛,玄幻奇幻,论征服世界的正确,http://www.jjwxc.net/onebook.php?novelid=2819977
乔小嗣,玄幻奇幻,（穿书）反派死于话,http://www.jjwxc.net/onebook.php?novelid=3233994
苏遮暮,玄幻奇幻,(快穿)我家男主全反,http://www.jjwxc.net/onebook.php?novelid=2959996
老Keng,玄幻奇幻,我儿子老带他爸来打,http://www.jjwxc.net/onebook.php?novelid=3365464
卡蕊娜,玄幻奇幻,快穿之梓虞,http://www.jjwxc.net/onebook.php?novelid=3382624
乌浪浪,科幻网游,我家店铺不打折[重,http://www.jjwxc.net/onebook.php?novelid=3395443
老衲吃素,科幻网游,银河尽头的小饭馆,http://www.jjwxc.net/onebook.php?novelid=3229007
羽小树,科幻网游,男色担当性别女,http://www.jjwxc.net/onebook.php?novelid=3169511
划水的月,科幻网游,末世种田之天灾,http://www.jjwxc.net/onebook.php?novelid=3299572
夜酒半归,科幻网游,Omega也是女王大,http://www.jjwxc.net/onebook.php?novelid=2482403
一只辣鸡,科幻网游,快穿女配与反派互,http://www.jjwxc.net/onebook.php?novelid=3178387
轻云淡,科幻网游,无限塔防,http://www.jjwxc.net/onebook.php?novelid=3317509
云舞轻,科幻网游,吃播女神[星际],http://www.jjwxc.net/onebook.php?novelid=3047704
非刀,科幻网游,未来写文养娃记,http://www.jjwxc.net/onebook.php?novelid=2795984
喵喵喵就是我,科幻网游,男神，你也来,http://www.jjwxc.net/onebook.php?novelid=3180859
八宝榛子酱,科幻网游,村长是只妖[全,http://www.jjwxc.net/onebook.php?novelid=3390148
吖月,科幻网游,捡回一只炮[末世+剑三,http://www.jjwxc.net/onebook.php?novelid=3171287
风浅,科幻网游,亿万年星光,http://www.jjwxc.net/onebook.php?novelid=2450518
不想坑的唧叽,科幻网游,我的男友是条,http://www.jjwxc.net/onebook.php?novelid=3323400
黄山山山山山,科幻网游,训宠指南,http://www.jjwxc.net/onebook.php?novelid=3164680
闻璟,科幻网游,全民催婚日常[星际],http://www.jjwxc.net/onebook.php?novelid=3408680
一笑且倾歌,科幻网游,穿越未来之甘愿,http://www.jjwxc.net/onebook.php?novelid=3240519
槙日,科幻网游,星际撸猫指南,http://www.jjwxc.net/onebook.php?novelid=3036555
扶华,科幻网游,末世第十年,http://www.jjwxc.net/onebook.php?novelid=3145671
琅琊湛,科幻网游,落到外星当宠物,http://www.jjwxc.net/onebook.php?novelid=3404126
靡宝,科幻网游,女神再临,http://www.jjwxc.net/onebook.php?novelid=2622880
淡布丁,科幻网游,百撩不亲[快穿],http://www.jjwxc.net/onebook.php?novelid=3173019
贰毛,科幻网游,老公，国家包分配的！,http://www.jjwxc.net/onebook.php?novelid=3300075
桃花安,科幻网游,星空指挥官,http://www.jjwxc.net/onebook.php?novelid=3408071
绝歌,百合,撩闲,http://www.jjwxc.net/onebook.php?novelid=3168033
白骨合,百合,全娱乐圈都是我粉丝,http://www.jjwxc.net/onebook.php?novelid=2366187
雁过吾痕,百合,这个影后有点烦,http://www.jjwxc.net/onebook.php?novelid=3349022
一盏夜灯,百合,桃李不言gl,http://www.jjwxc.net/onebook.php?novelid=3110061
听絮,百合,听说你是小三gl,http://www.jjwxc.net/onebook.php?novelid=3158067
涂图画画,百合,总裁媳妇么么哒,http://www.jjwxc.net/onebook.php?novelid=3137958
叶涩,百合,绯闻影后的意中人是醋,http://www.jjwxc.net/onebook.php?novelid=3250496
霸道种菜,百合,总有人想咚我[快,http://www.jjwxc.net/onebook.php?novelid=2863575
小吾君,百合,快穿之命运交易系统,http://www.jjwxc.net/onebook.php?novelid=3022090
原和,百合,上瘾,http://www.jjwxc.net/onebook.php?novelid=2776610
森雉,百合,我和女神网恋了GL,http://www.jjwxc.net/onebook.php?novelid=3365127
暮雨兮兮,百合,恐同女重生掰弯影,http://www.jjwxc.net/onebook.php?novelid=3348674
清汤涮香菜,百合,等你说爱我GL,http://www.jjwxc.net/onebook.php?novelid=2929000
蛋挞鲨,百合,致命吸引,http://www.jjwxc.net/onebook.php?novelid=3351834
糖弦,百合,和女神离婚之后[重生],http://www.jjwxc.net/onebook.php?novelid=3341645
陈家小王子,百合,重生之校园男神,http://www.jjwxc.net/onebook.php?novelid=3163403
椿棉不觉晓,百合,顾影后是个小傻,http://www.jjwxc.net/onebook.php?novelid=3271986
小爷是枫子,百合,大将军，你又赖,http://www.jjwxc.net/onebook.php?novelid=3118386
或许有一天,百合,不可攻略对象,http://www.jjwxc.net/onebook.php?novelid=3166289
远无期,百合,总监太会撩,http://www.jjwxc.net/onebook.php?novelid=3183117
调戏君临天下,百合,你个女配很不,http://www.jjwxc.net/onebook.php?novelid=3141605
笑蓝,百合,代嫁世子妃gl,http://www.jjwxc.net/onebook.php?novelid=3180375
逆签,百合,恋你上瘾［娱乐圈］,http://www.jjwxc.net/onebook.php?novelid=2771773
沧海惊鸿,百合,三世·江山,http://www.jjwxc.net/onebook.php?novelid=3128811
若瞳言,二次元言情,年龄不是问题[综],http://www.jjwxc.net/onebook.php?novelid=3244512
曲奇碎可可,二次元言情,暗堕本丸怪谈[,http://www.jjwxc.net/onebook.php?novelid=3073313
风的铃铛,二次元言情,[综]我的日常果然,http://www.jjwxc.net/onebook.php?novelid=2797288
伊文婕琳,二次元言情,[综]每天都在樱吹,http://www.jjwxc.net/onebook.php?novelid=3265303
喻清夏,二次元言情,"[综]是魔法使,才不",http://www.jjwxc.net/onebook.php?novelid=3101423
清溪洗砚,二次元言情,[阴阳师]深海少女,http://www.jjwxc.net/onebook.php?novelid=3300140
白兰氏鸡精,二次元言情,绿司征十郎[综],http://www.jjwxc.net/onebook.php?novelid=3236059
地日草,二次元言情,[综]白兰氏女神,http://www.jjwxc.net/onebook.php?novelid=3382995
花笙弥,二次元言情,[综]全世界都知道你,http://www.jjwxc.net/onebook.php?novelid=3369551
竹米,二次元言情,[综]今天追到齐神了吗,http://www.jjwxc.net/onebook.php?novelid=3329161
郁礼,二次元言情,我一定要那个偷我能力,http://www.jjwxc.net/onebook.php?novelid=3385211
暝阑,二次元言情,[综]本丸养猫手记,http://www.jjwxc.net/onebook.php?novelid=3328551
吃鲸路人,二次元言情,[综]我真的是个BU,http://www.jjwxc.net/onebook.php?novelid=3328219
花木柔,二次元言情,职业不兼容，我能怎,http://www.jjwxc.net/onebook.php?novelid=3028662
凌宁灵,二次元言情,花丸建成史[综],http://www.jjwxc.net/onebook.php?novelid=3363573
井蛙言海,二次元言情,[综]刃刃都爱桔梗,http://www.jjwxc.net/onebook.php?novelid=3334897
春酒,二次元言情,[综]这是个假的暗黑本,http://www.jjwxc.net/onebook.php?novelid=2928695
银发死鱼眼,二次元言情,[综]跟我告白的,http://www.jjwxc.net/onebook.php?novelid=3365612
薜荔锦,二次元言情,[综]你好，藤原顺子,http://www.jjwxc.net/onebook.php?novelid=3213037
不雾,二次元言情,[综]春川秋奈,http://www.jjwxc.net/onebook.php?novelid=3338338
斯迈尔夫人,二次元言情,[综]彭格列和宇,http://www.jjwxc.net/onebook.php?novelid=3261698
直白人家,二次元言情,别过来，我不是随,http://www.jjwxc.net/onebook.php?novelid=3128601
湖蓝阁,二次元言情,作为一个普通人生在,http://www.jjwxc.net/onebook.php?novelid=3156694
醉华年,二次元言情,女棋手进藤光[综],http://www.jjwxc.net/onebook.php?novelid=3000481
长生千叶,衍生言情,女皇穿成林妹妹的,http://www.jjwxc.net/onebook.php?novelid=3382413
云风清,衍生言情,[娱乐圈]非典型‘移,http://www.jjwxc.net/onebook.php?novelid=3346031
公子绯悠,衍生言情,好大一个果子[娱,http://www.jjwxc.net/onebook.php?novelid=2469141
钟昱,衍生言情,[综武侠]全世界都怕我,http://www.jjwxc.net/onebook.php?novelid=3273647
秦诜,衍生言情,对方已经重伤[综武侠],http://www.jjwxc.net/onebook.php?novelid=3067056
两只爪,衍生言情,[综英美]男神让我祸,http://www.jjwxc.net/onebook.php?novelid=3271369
李禾苗,衍生言情,瓶儿记,http://www.jjwxc.net/onebook.php?novelid=3335105
其恕,衍生言情,[综]夏洛克的秘密,http://www.jjwxc.net/onebook.php?novelid=3142049
香溪河畔草,衍生言情,红楼之贾琏,http://www.jjwxc.net/onebook.php?novelid=3255152
肖石头,衍生言情,[综]此乃真绝色,http://www.jjwxc.net/onebook.php?novelid=2891933
双面美人鱼,衍生言情,红楼之老实人当,http://www.jjwxc.net/onebook.php?novelid=3199766
凌沧州,衍生言情,[展昭]怂郡主追夫记,http://www.jjwxc.net/onebook.php?novelid=3398702
颜凉Air,衍生言情,[韩娱BTS]我们和好,http://www.jjwxc.net/onebook.php?novelid=3259989
深海人鱼,衍生言情,红楼聊斋之世外仙,http://www.jjwxc.net/onebook.php?novelid=1787570
烟波萧萧,衍生言情,[西游]原来我是唐,http://www.jjwxc.net/onebook.php?novelid=2666404
庭外红梅,衍生言情,[红楼]板儿的科举,http://www.jjwxc.net/onebook.php?novelid=3248836
满纸荒言,衍生言情,[美娱]好莱坞女王,http://www.jjwxc.net/onebook.php?novelid=3247147
酒醉玄虓,衍生言情,[综英美]科技杀手,http://www.jjwxc.net/onebook.php?novelid=3410794
莫冉尘,衍生言情,红楼之林家长女,http://www.jjwxc.net/onebook.php?novelid=3041890
白葱,衍生言情,[综英美]我的学生不太,http://www.jjwxc.net/onebook.php?novelid=3232463
焦石头,衍生言情,怦然心动[娱乐圈BTS,http://www.jjwxc.net/onebook.php?novelid=2664471
简淮,衍生言情,[综英美]每个直播都想,http://www.jjwxc.net/onebook.php?novelid=3291562
舞殇曲,衍生言情,[综英美]我有真话系,http://www.jjwxc.net/onebook.php?novelid=3160410
糖酪浇樱桃,衍生言情,[综英美]小花瓶,http://www.jjwxc.net/onebook.php?novelid=3367744
